Ticker,Horizon,LPI,LDR,CASA,InterbankDep,CreditDepositGap,NIM,ActualMetricCount,MetricCoverage,BaseVulnerability,StressVulnerability,FundingCostShock_ppt,StressedNIM,Watch,Coverage,Data Type,Source Mode
KLB,5D,0.10492584527829901,0.84,0.09,0.025,0.04,0.034,0,0.0,54.485,55.342532701998216,1.1068506540399643,0.022931493459600362,GREEN,0.0,ASSUMPTION,FALLBACK
BAB,5D,0.10492584527829901,0.83,0.07,0.03,0.03,0.03,0,0.0,54.4,55.25619489747091,1.1051238979494182,0.018948761020505817,RED,0.0,ASSUMPTION,FALLBACK
VCB,20D,0.10492584527829901,0.82,0.36,0.015,0.0,0.034,0,0.0,44.98499999999999,45.693013372476635,0.9138602674495327,0.024861397325504676,GREEN,0.0,ASSUMPTION,FALLBACK
BID,20D,0.10492584527829901,0.88,0.18,0.035,0.05,0.03,0,0.0,55.22500000000001,56.094179470824116,1.1218835894164823,0.018781164105835177,RED,0.0,ASSUMPTION,FALLBACK
CTG,20D,0.10492584527829901,0.87,0.22,0.03,0.04,0.031,0,0.0,53.14000000000001,53.976363912713325,1.0795272782542664,0.020204727217457336,GREEN,0.0,ASSUMPTION,FALLBACK
TCB,20D,0.10492584527829901,0.8,0.38,0.01,-0.02,0.04,0,0.0,42.5,43.16890226364915,0.863378045272983,0.031366219547270174,GREEN,0.0,ASSUMPTION,FALLBACK
MBB,20D,0.10492584527829901,0.83,0.4,0.02,0.01,0.041,0,0.0,44.989999999999995,45.698092066860596,0.9139618413372119,0.03186038158662788,GREEN,0.0,ASSUMPTION,FALLBACK
ACB,20D,0.10492584527829901,0.84,0.23,0.015,0.02,0.037,0,0.0,49.904999999999994,50.69044864629202,1.0138089729258404,0.026861910270741595,GREEN,0.0,ASSUMPTION,FALLBACK
HDB,20D,0.10492584527829901,0.88,0.19,0.03,0.07,0.045,0,0.0,55.20000000000001,56.068785998904325,1.1213757199780865,0.033786242800219135,GREEN,0.0,ASSUMPTION,FALLBACK
VPB,20D,0.10492584527829901,0.91,0.16,0.045,0.09,0.05,0,0.0,58.825,59.75083942727439,1.1950167885454879,0.03804983211454512,GREEN,0.0,ASSUMPTION,FALLBACK
STB,20D,0.10492584527829901,0.9,0.18,0.025,0.06,0.035,0,0.0,56.125,57.00834445993668,1.1401668891987335,0.02359833110801267,GREEN,0.0,ASSUMPTION,FALLBACK
VIB,20D,0.10492584527829901,0.92,0.17,0.035,0.1,0.043,0,0.0,59.045,59.974301980168576,1.1994860396033715,0.03100513960396628,GREEN,0.0,ASSUMPTION,FALLBACK
SHB,20D,0.10492584527829901,0.89,0.14,0.04,0.07,0.032,0,0.0,57.57999999999999,58.48624452566865,1.169724890513373,0.02030275109486627,GREEN,0.0,ASSUMPTION,FALLBACK
TPB,20D,0.10492584527829901,0.87,0.23,0.03,0.05,0.038,0,0.0,53.120000000000005,53.95604913517749,1.0791209827035497,0.0272087901729645,GREEN,0.0,ASSUMPTION,FALLBACK
LPB,20D,0.10492584527829901,0.86,0.13,0.025,0.04,0.036,0,0.0,54.565000000000005,55.42379181214156,1.108475836242831,0.024915241637571688,GREEN,0.0,ASSUMPTION,FALLBACK
OCB,20D,0.10492584527829901,0.91,0.15,0.035,0.09,0.034,0,0.0,58.78500000000001,59.71020987220273,1.1942041974440547,0.022057958025559453,GREEN,0.0,ASSUMPTION,FALLBACK
MSB,20D,0.10492584527829901,0.82,0.27,0.03,0.01,0.038,0,0.0,48.169999999999995,48.92814169505834,0.9785628339011668,0.02821437166098833,GREEN,0.0,ASSUMPTION,FALLBACK
SSB,20D,0.10492584527829901,0.79,0.12,0.025,-0.03,0.03,0,0.0,48.92500000000001,49.69502454703613,0.9939004909407225,0.020060995090592774,GREEN,0.0,ASSUMPTION,FALLBACK
EIB,20D,0.10492584527829901,0.77,0.2,0.02,-0.05,0.028,0,0.0,45.02,45.728564233164356,0.9145712846632871,0.01885428715336713,RED,0.0,ASSUMPTION,FALLBACK
NAB,20D,0.10492584527829901,0.88,0.1,0.03,0.06,0.033,0,0.0,57.27,58.171365473863226,1.1634273094772645,0.021365726905227356,GREEN,0.0,ASSUMPTION,FALLBACK
KLB,20D,0.10492584527829901,0.84,0.09,0.025,0.04,0.034,0,0.0,54.485,55.342532701998216,1.1068506540399643,0.022931493459600362,GREEN,0.0,ASSUMPTION,FALLBACK
BAB,20D,0.10492584527829901,0.83,0.07,0.03,0.03,0.03,0,0.0,54.4,55.25619489747091,1.1051238979494182,0.018948761020505817,RED,0.0,ASSUMPTION,FALLBACK
