Ticker,LDR,CASA,InterbankDep,CreditDepositGap,NIM,ActualMetricCount,MetricCoverage,SourceMode,DataType,CASASource,LiquidityBuffer,BaseVulnerability,Horizon,LPI,StressVulnerability,FundingCostShock_ppt,StressedNIM,Watch
SHB,1.0566131403,0.0765,0.1630418470131029,0.0385431887115264,0.0213857423,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.05661314030000009,73.03054407043544,Current,0.0,73.03054407043544,1.4606108814087089,0.006779633485912911,RED
TPB,1.1721814197,0.1857,0.2617364342374467,0.1576996755066144,0.0289891823,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.1721814197,84.59671606638354,Current,0.0,84.59671606638354,1.6919343213276707,0.01206983908672329,RED
LPB,1.2148474216,0.0631,0.1822079550134314,0.1998095947243446,0.0291952818,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.21484742160000003,87.69080118733476,Current,0.0,87.69080118733476,1.753816023746695,0.01165712156253305,RED
OCB,1.3797867928,0.1105,0.1858544640077909,0.3512185490254231,0.0303957638,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.37978679280000005,100.0,Current,0.0,100.0,2.0,0.010395763799999999,RED
MSB,1.1257897306,0.2191,0.2796390938994983,0.1111167118772594,0.0316796336,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.12578973059999998,80.5913994287952,Current,0.0,80.5913994287952,1.611827988575904,0.015561353714240962,RED
SSB,1.2707149215,0.107,0.2897339173455414,0.2517085971470318,0.0245832806,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.2707149215,96.10777207146032,Current,0.0,96.10777207146032,1.9221554414292064,0.005361726185707936,RED
EIB,1.1021110724,0.1378,0.1425042034472648,0.0913423451449178,0.0236730221,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.10211107240000006,74.63733827047444,Current,0.0,74.63733827047444,1.4927467654094888,0.008745554445905112,RED
NAB,1.0934269314,0.0526,0.3269395231806684,0.082425872299349,0.02188875,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.09342693140000002,84.33964843911056,Current,0.0,84.33964843911056,1.6867929687822112,0.0050208203121778865,RED
KLB,1.049954025,0.0578,0.2170769042034582,0.0324426857734514,0.0401056713,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.0499540249999999,75.19315592435916,Current,0.0,75.19315592435916,1.5038631184871831,0.02506704011512817,RED
BAB,1.1338242212,0.0334,0.1788314697326969,0.116540922438928,0.0232718555,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.13382422120000004,81.38625742213921,Current,0.0,81.38625742213921,1.6277251484427842,0.00699460401557216,RED
VCB,1.0169754447,0.3235,0.1524714528395213,-0.0003685732412969,0.0274697447,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.016975444699999898,62.97161019203955,5D,0.10492584527829901,63.96271260622984,1.2792542521245969,0.014677202178754031,RED
BID,1.1061522236,0.2005,0.1081403437845421,0.0908122531612986,0.0210641822,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.1061522236000001,71.75591354114336,5D,0.10492584527829901,72.8852710234465,1.4577054204689301,0.006487127995310699,RED
CTG,1.10677871,0.2267,0.1595264836386918,0.0890114780375239,0.0268977165,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.10677870999999994,73.33538798986685,5D,0.10492584527829901,74.48960462591415,1.489792092518283,0.011999795574817168,RED
TCB,1.2790980022,0.3426,0.1294025962011723,0.2617045015762979,0.0363342376,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.27909800220000003,83.6462996213417,5D,0.10492584527829901,84.96279842516736,1.6992559685033473,0.019341677914966528,RED
MBB,1.2736407115,0.3392,0.1648047502840461,0.2563522537854727,0.0389543319,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.2736407114999999,84.83747718984625,5D,0.10492584527829901,86.1727237906597,1.723454475813194,0.02171978714186806,RED
ACB,1.2933656682,0.2004,0.1389342157147655,0.2793779928554799,0.0288777064,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.2933656682000001,89.01971417982882,5D,0.10492584527829901,90.42078449334149,1.8084156898668298,0.010793549501331705,RED
HDB,0.9776600377,0.1087,0.1419292897118332,-0.0359843007204204,0.0410515519,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,0.022339962300000016,64.50057556991987,5D,0.10492584527829901,65.51574218181146,1.3103148436362293,0.0279484034636377,AMBER
VPB,1.584692925,0.1255,0.2317035391597012,0.5555003357677953,0.0524073241,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.5846929249999999,100.0,5D,0.10492584527829901,100.0,2.0,0.032407324099999996,RED
STB,0.9816181355,0.1645,0.100960096156917,-0.0603254542280959,0.0293063327,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,0.01838186450000001,60.86687482571839,5D,0.10492584527829901,61.82485106929892,1.2364970213859785,0.016941362486140213,RED
VIB,1.2508474112,0.1177,0.2460061363235423,0.2348984765385362,0.0304094941,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.2508474112000001,92.2172431057155,5D,0.10492584527829901,93.66863893303073,1.8733727786606147,0.011675766313393853,RED
SHB,1.0566131403,0.0765,0.1630418470131029,0.0385431887115264,0.0213857423,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.05661314030000009,73.03054407043544,5D,0.10492584527829901,74.17996280559412,1.4835992561118823,0.006549749738881177,RED
TPB,1.1721814197,0.1857,0.2617364342374467,0.1576996755066144,0.0289891823,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.1721814197,84.59671606638354,5D,0.10492584527829901,85.92817335753857,1.7185634671507715,0.011803547628492284,RED
LPB,1.2148474216,0.0631,0.1822079550134314,0.1998095947243446,0.0291952818,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.21484742160000003,87.69080118733476,5D,0.10492584527829901,89.0709559029916,1.781419118059832,0.01138109061940168,RED
OCB,1.3797867928,0.1105,0.1858544640077909,0.3512185490254231,0.0303957638,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.37978679280000005,100.0,5D,0.10492584527829901,100.0,2.0,0.010395763799999999,RED
MSB,1.1257897306,0.2191,0.2796390938994983,0.1111167118772594,0.0316796336,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.12578973059999998,80.5913994287952,5D,0.10492584527829901,81.8598175348793,1.637196350697586,0.01530767009302414,RED
SSB,1.2707149215,0.107,0.2897339173455414,0.2517085971470318,0.0245832806,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.2707149215,96.10777207146032,5D,0.10492584527829901,97.62040045482212,1.9524080090964424,0.005059200509035577,RED
EIB,1.1021110724,0.1378,0.1425042034472648,0.0913423451449178,0.0236730221,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.10211107240000006,74.63733827047444,5D,0.10492584527829901,75.81204614157723,1.5162409228315445,0.008510612871684555,RED
NAB,1.0934269314,0.0526,0.3269395231806684,0.082425872299349,0.02188875,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.09342693140000002,84.33964843911056,5D,0.10492584527829901,85.6670597745528,1.713341195491056,0.004755338045089437,RED
KLB,1.049954025,0.0578,0.2170769042034582,0.0324426857734514,0.0401056713,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.0499540249999999,75.19315592435916,5D,0.10492584527829901,76.3766117410351,1.527532234820702,0.02483034895179298,RED
BAB,1.1338242212,0.0334,0.1788314697326969,0.116540922438928,0.0232718555,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.13382422120000004,81.38625742213921,5D,0.10492584527829901,82.66718570024749,1.6533437140049498,0.006738418359950503,RED
VCB,1.0169754447,0.3235,0.1524714528395213,-0.0003685732412969,0.0274697447,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.016975444699999898,62.97161019203955,20D,0.10492584527829901,63.96271260622984,1.2792542521245969,0.014677202178754031,RED
BID,1.1061522236,0.2005,0.1081403437845421,0.0908122531612986,0.0210641822,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.1061522236000001,71.75591354114336,20D,0.10492584527829901,72.8852710234465,1.4577054204689301,0.006487127995310699,RED
CTG,1.10677871,0.2267,0.1595264836386918,0.0890114780375239,0.0268977165,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.10677870999999994,73.33538798986685,20D,0.10492584527829901,74.48960462591415,1.489792092518283,0.011999795574817168,RED
TCB,1.2790980022,0.3426,0.1294025962011723,0.2617045015762979,0.0363342376,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.27909800220000003,83.6462996213417,20D,0.10492584527829901,84.96279842516736,1.6992559685033473,0.019341677914966528,RED
MBB,1.2736407115,0.3392,0.1648047502840461,0.2563522537854727,0.0389543319,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.2736407114999999,84.83747718984625,20D,0.10492584527829901,86.1727237906597,1.723454475813194,0.02171978714186806,RED
ACB,1.2933656682,0.2004,0.1389342157147655,0.2793779928554799,0.0288777064,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.2933656682000001,89.01971417982882,20D,0.10492584527829901,90.42078449334149,1.8084156898668298,0.010793549501331705,RED
HDB,0.9776600377,0.1087,0.1419292897118332,-0.0359843007204204,0.0410515519,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,0.022339962300000016,64.50057556991987,20D,0.10492584527829901,65.51574218181146,1.3103148436362293,0.0279484034636377,AMBER
VPB,1.584692925,0.1255,0.2317035391597012,0.5555003357677953,0.0524073241,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.5846929249999999,100.0,20D,0.10492584527829901,100.0,2.0,0.032407324099999996,RED
STB,0.9816181355,0.1645,0.100960096156917,-0.0603254542280959,0.0293063327,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,0.01838186450000001,60.86687482571839,20D,0.10492584527829901,61.82485106929892,1.2364970213859785,0.016941362486140213,RED
VIB,1.2508474112,0.1177,0.2460061363235423,0.2348984765385362,0.0304094941,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.2508474112000001,92.2172431057155,20D,0.10492584527829901,93.66863893303073,1.8733727786606147,0.011675766313393853,RED
SHB,1.0566131403,0.0765,0.1630418470131029,0.0385431887115264,0.0213857423,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.05661314030000009,73.03054407043544,20D,0.10492584527829901,74.17996280559412,1.4835992561118823,0.006549749738881177,RED
TPB,1.1721814197,0.1857,0.2617364342374467,0.1576996755066144,0.0289891823,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.1721814197,84.59671606638354,20D,0.10492584527829901,85.92817335753857,1.7185634671507715,0.011803547628492284,RED
LPB,1.2148474216,0.0631,0.1822079550134314,0.1998095947243446,0.0291952818,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.21484742160000003,87.69080118733476,20D,0.10492584527829901,89.0709559029916,1.781419118059832,0.01138109061940168,RED
OCB,1.3797867928,0.1105,0.1858544640077909,0.3512185490254231,0.0303957638,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.37978679280000005,100.0,20D,0.10492584527829901,100.0,2.0,0.010395763799999999,RED
MSB,1.1257897306,0.2191,0.2796390938994983,0.1111167118772594,0.0316796336,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.12578973059999998,80.5913994287952,20D,0.10492584527829901,81.8598175348793,1.637196350697586,0.01530767009302414,RED
SSB,1.2707149215,0.107,0.2897339173455414,0.2517085971470318,0.0245832806,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.2707149215,96.10777207146032,20D,0.10492584527829901,97.62040045482212,1.9524080090964424,0.005059200509035577,RED
EIB,1.1021110724,0.1378,0.1425042034472648,0.0913423451449178,0.0236730221,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.10211107240000006,74.63733827047444,20D,0.10492584527829901,75.81204614157723,1.5162409228315445,0.008510612871684555,RED
NAB,1.0934269314,0.0526,0.3269395231806684,0.082425872299349,0.02188875,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.09342693140000002,84.33964843911056,20D,0.10492584527829901,85.6670597745528,1.713341195491056,0.004755338045089437,RED
KLB,1.049954025,0.0578,0.2170769042034582,0.0324426857734514,0.0401056713,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.0499540249999999,75.19315592435916,20D,0.10492584527829901,76.3766117410351,1.527532234820702,0.02483034895179298,RED
BAB,1.1338242212,0.0334,0.1788314697326969,0.116540922438928,0.0232718555,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.13382422120000004,81.38625742213921,20D,0.10492584527829901,82.66718570024749,1.6533437140049498,0.006738418359950503,RED
